Account ID,First Name,Last Name,SSN,Email,Phone,Date of Birth,Mailing Address,Account Type,Risk Tolerance,Income Bracket,Employment Status,Account Opened Date
ACC-5892-09,Pamela,Jackson,064-97-5137,ericlam@example.org,(832)951-9497x17134,16-Dec-1987,"18268 Betty Street Suite 192, Rhodesfurt, CO 62481",401(k),High,50k-100k,Unemployed,22-Jul-2022
ACC-6263-52,Carlos,Alexander,597-29-4123,smithnathan@example.net,(639)552-2275x2782,10-Oct-1967,"84071 Michael Roads, Davidton, NJ 05305",Roth IRA,Low,100k-250k,Unemployed,8/30/2020
ACC-6420-70,Michael,Bentley,024-43-5953,maryowen@example.org,(344)579-5099x116,9/11/1949,"8510 Miller Ridge Suite 261, Howardfort, MP 00948",Brokerage,Low,250k+,Unemployed,5-Apr-2023
ACC-1996-88,John,Taylor,865-73-7720,roberta03@example.net,858.790.5926,12/9/1980,"999 Brown Views Apt. 498, Whitehaven, NM 97937",Roth IRA,High,<50k,Retired,18-Jan-2024
ACC-3802-06,Rachel,Richmond,286-19-7919,charlescox@example.com,001-884-603-3615,5/25/1951,"1151 Crystal Pines, North Johnview, CT 58214",Roth IRA,High,250k+,Retired,9/21/2021
ACC-8248-29,Jennifer,Callahan,803-62-6159,,864-618-7743x4611,6/10/1950,"20343 Taylor Harbor Apt. 261, East Katherineport, NV 33423",401(k),Low,50k-100k,Employed,3/26/2024
ACC-4336-74,Kimberly,Martin,844-14-5926,leachcourtney@example.org,298-984-4818,12/30/1953,"33889 Ryan Skyway, West Michellefurt, HI 98580",401(k),Medium,50k-100k,Self-employed,4/28/2023
ACC-9574-77,Stephanie,Chang,792-09-7567,richmondmelissa@example.org,(303)460-3576x6855,11/17/1973,"33564 Mark Springs Suite 629, West Staceymouth, ND 93091",Custodial,Low,250k+,Retired,4/1/2022
ACC-6745-42,Latasha,Smith,019-99-3255,torreskevin@example.com,322-525-7042x70153,28-Feb-1961,"295 Teresa Well, West Anthony, MP 92477",401(k),High,100k-250k,Student,11/7/2023
ACC-5352-08,Juan,Maddox,281-31-2671,cpayne@example.org,001-916-887-7658x34690,1/22/1947,"98206 Davidson Harbors, Lake Natalieview, NH 65338",Trust,High,100k-250k,Retired,26-Nov-2022
ACC-1451-14,Troy,Guzman,423-28-3349,rivasroy@example.org,609.928.6470x988,14-Mar-1985,"9292 Carl Rest, East Haroldhaven, IA 80036",Joint,Medium,250k+,Student,8-May-2021
ACC-6546-74,Julie,Hernandez,226-61-1752,rbrady@example.com,+1-690-307-7030x444,23-Sep-1948,"491 Joshua Stream Apt. 441, Lake Kara, DC 25267",Joint,Low,100k-250k,Retired,1/31/2025
ACC-5934-64,Ashley,Gallegos,388-69-2681,todd79@example.org,+1-754-383-5075,9/2/1983,"1223 Rhonda Highway Suite 714, Lesliemouth, CA 73603",401(k),Low,<50k,Unemployed,20-Jun-2022
ACC-9656-56,Maria,Reynolds,864-07-6386,hwilliams@example.net,+1-928-939-7337x2381,11/13/1957,"044 Hernandez Court, Port Sarah, FL 34747",Joint,Medium,50k-100k,Self-employed,1/14/2025
ACC-9187-98,Deborah,Atkinson,867-23-1046,lopezrebecca@example.com,+1-444-517-2107,10/27/1964,"5907 Joseph Harbors, West Vernon, WI 59422",Joint,Medium,250k+,Employed,23-Feb-2021
ACC-1246-49,Casey,Middleton,323-41-0749,cherylbryant@example.org,776-527-2836x825,1/8/1957,"PSC 4877, Box 6832, APO AA 39445",401(k),High,250k+,Retired,7/5/2021
ACC-5745-27,Larry,Berry,242-43-4692,jessica50@example.org,N/A,5/2/1954,"PSC 6307, Box 7717, APO AE 61478",Trust,High,50k-100k,Retired,11/15/2024
ACC-1469-19,Amanda,Carpenter,625-54-4519,,9117516711,19-Nov-1984,"USNV James, FPO AP 60734",Custodial,High,250k+,Unemployed,24-Sep-2021
ACC-0700-77,Timothy,Chapman,301-98-4585,nwatson@example.com,738.648.3805x567,17-Nov-1947,"02419 Hansen Drive Apt. 296, Port Williamchester, NJ 79226",401(k),Low,50k-100k,Employed,6/15/2021
ACC-4466-77,Jennifer,Clarke,741-78-0543,jennifer81@example.com,(794)433-0181x08445,3/1/1983,"4491 Hayes Villages, Erinchester, NV 02861",Brokerage,Medium,<50k,Student,3/12/2023
ACC-9586-98,Jonathan,Ramos,448-73-4061,hdavis@example.net,001-989-493-3919x382,4/13/1971,"416 Vanessa Drive Apt. 643, Jonathanshire, WV 33416",401(k),Medium,250k+,Student,8/26/2024
ACC-1317-26,William,Winters,060-60-7146,vwilson@example.com,667-644-6844x864,16-May-1977,"502 Roy Field Apt. 186, West Lawrenceborough, MA 98854",Roth IRA,Medium,100k-250k,Employed,10/21/2023
ACC-6303-65,James,Poole,711-69-3228,jackcameron@example.net,230.273.3366,16-Jun-1959,"PSC 2560, Box 7250, APO AA 54502",Joint,Medium,250k+,Retired,28-Dec-2023
ACC-0599-67,April,Terry,863-96-7196,schneiderdaniel@example.com,001-730-345-3758,3/27/1942,"Unit 5201 Box 1854, DPO AP 75380",Brokerage,Low,100k-250k,Retired,1/11/2025
ACC-7393-87,Christopher,Miller,501-32-1398,brooke74@example.com,5913811681,15-Sep-1978,"7220 Clinton Walks Apt. 712, East Angelatown, ME 60253",Trust,Low,100k-250k,Student,4-Jul-2023
ACC-8266-21,Sean,Daniel,277-11-6559,danielortiz@example.net,202-835-8865,12-Aug-1998,"978 Jennifer Estates, Lake Markfort, AK 40664",Custodial,Medium,<50k,Unemployed,30-Apr-2025
ACC-8660-68,Edward,Washington,350-45-7138,yolanda26@example.com,930-887-7949x47468,10/9/1979,"1333 Mark Point Apt. 075, Port Granthaven, NC 72915",Custodial,High,50k-100k,Unemployed,11/9/2024
ACC-9078-56,John,Johnson,795-37-9057,ashley07@example.net,312-400-9132x027,29-Sep-2002,"2039 Fowler Hill, South Jenniferbury, DC 53724",Trust,Low,50k-100k,Retired,12/20/2024
ACC-0606-25,Stephanie,Perry,343-86-8208,davisrachel@example.net,+1-254-538-6993x4069,6-Jun-1966,"Unit 7171 Box 3162, DPO AA 56057",Brokerage,High,100k-250k,Self-employed,7/14/2025
