AccountID,FirstName,LastName,SSN,Email,DateOfBirth,MailingAddress,AccountType,RiskTolerance,IncomeBracket,EmploymentStatus,AccountOpenedDate,PhoneNumber,ExtensionNumber
589209,PAMELA,JACKSON,064-97-5137,ericlam@example.org,1987-12-16,"18268 Betty Street Suite 192, Rhodesfurt, CO 62481",401(K),HIGH,50K-100K,UNEMPLOYED,2022-07-22,8329519497,17134
626352,CARLOS,ALEXANDER,597-29-4123,smithnathan@example.net,1967-10-10,"84071 Michael Roads, Davidton, NJ 05305",ROTH IRA,LOW,100K-250K,UNEMPLOYED,2020-08-30,6395522275,2782
642070,MICHAEL,BENTLEY,024-43-5953,maryowen@example.org,1949-09-11,"8510 Miller Ridge Suite 261, Howardfort, MP 00948",BROKERAGE,LOW,250K+,UNEMPLOYED,2023-04-05,3445795099,116
199688,JOHN,TAYLOR,865-73-7720,roberta03@example.net,1980-12-09,"999 Brown Views Apt. 498, Whitehaven, NM 97937",ROTH IRA,HIGH,<50K,RETIRED,2024-01-18,8587905926,
380206,RACHEL,RICHMOND,286-19-7919,charlescox@example.com,1951-05-25,"1151 Crystal Pines, North Johnview, CT 58214",ROTH IRA,HIGH,250K+,RETIRED,2021-09-21,0018846033615,
824829,JENNIFER,CALLAHAN,803-62-6159,,1950-06-10,"20343 Taylor Harbor Apt. 261, East Katherineport, NV 33423",401(K),LOW,50K-100K,EMPLOYED,2024-03-26,8646187743,4611
433674,KIMBERLY,MARTIN,844-14-5926,leachcourtney@example.org,1953-12-30,"33889 Ryan Skyway, West Michellefurt, HI 98580",401(K),MEDIUM,50K-100K,SELF-EMPLOYED,2023-04-28,2989844818,
957477,STEPHANIE,CHANG,792-09-7567,richmondmelissa@example.org,1973-11-17,"33564 Mark Springs Suite 629, West Staceymouth, ND 93091",CUSTODIAL,LOW,250K+,RETIRED,2022-04-01,3034603576,6855
674542,LATASHA,SMITH,019-99-3255,torreskevin@example.com,1961-02-28,"295 Teresa Well, West Anthony, MP 92477",401(K),HIGH,100K-250K,STUDENT,2023-11-07,3225257042,70153
535208,JUAN,MADDOX,281-31-2671,cpayne@example.org,1947-01-22,"98206 Davidson Harbors, Lake Natalieview, NH 65338",TRUST,HIGH,100K-250K,RETIRED,2022-11-26,0019168877658,34690
145114,TROY,GUZMAN,423-28-3349,rivasroy@example.org,1985-03-14,"9292 Carl Rest, East Haroldhaven, IA 80036",JOINT,MEDIUM,250K+,STUDENT,2021-05-08,6099286470,988
654674,JULIE,HERNANDEZ,226-61-1752,rbrady@example.com,1948-09-23,"491 Joshua Stream Apt. 441, Lake Kara, DC 25267",JOINT,LOW,100K-250K,RETIRED,2025-01-31,+16903077030,444
593464,ASHLEY,GALLEGOS,388-69-2681,todd79@example.org,1983-09-02,"1223 Rhonda Highway Suite 714, Lesliemouth, CA 73603",401(K),LOW,<50K,UNEMPLOYED,2022-06-20,+17543835075,
965656,MARIA,REYNOLDS,864-07-6386,hwilliams@example.net,1957-11-13,"044 Hernandez Court, Port Sarah, FL 34747",JOINT,MEDIUM,50K-100K,SELF-EMPLOYED,2025-01-14,+19289397337,2381
918798,DEBORAH,ATKINSON,867-23-1046,lopezrebecca@example.com,1964-10-27,"5907 Joseph Harbors, West Vernon, WI 59422",JOINT,MEDIUM,250K+,EMPLOYED,2021-02-23,+14445172107,
124649,CASEY,MIDDLETON,323-41-0749,cherylbryant@example.org,1957-01-08,"PSC 4877, Box 6832, APO AA 39445",401(K),HIGH,250K+,RETIRED,2021-07-05,7765272836,825
574527,LARRY,BERRY,242-43-4692,jessica50@example.org,1954-05-02,"PSC 6307, Box 7717, APO AE 61478",TRUST,HIGH,50K-100K,RETIRED,2024-11-15,,
146919,AMANDA,CARPENTER,625-54-4519,,1984-11-19,"USNV James, FPO AP 60734",CUSTODIAL,HIGH,250K+,UNEMPLOYED,2021-09-24,9117516711,
070077,TIMOTHY,CHAPMAN,301-98-4585,nwatson@example.com,1947-11-17,"02419 Hansen Drive Apt. 296, Port Williamchester, NJ 79226",401(K),LOW,50K-100K,EMPLOYED,2021-06-15,7386483805,567
446677,JENNIFER,CLARKE,741-78-0543,jennifer81@example.com,1983-03-01,"4491 Hayes Villages, Erinchester, NV 02861",BROKERAGE,MEDIUM,<50K,STUDENT,2023-03-12,7944330181,08445
958698,JONATHAN,RAMOS,448-73-4061,hdavis@example.net,1971-04-13,"416 Vanessa Drive Apt. 643, Jonathanshire, WV 33416",401(K),MEDIUM,250K+,STUDENT,2024-08-26,0019894933919,382
131726,WILLIAM,WINTERS,060-60-7146,vwilson@example.com,1977-05-16,"502 Roy Field Apt. 186, West Lawrenceborough, MA 98854",ROTH IRA,MEDIUM,100K-250K,EMPLOYED,2023-10-21,6676446844,864
630365,JAMES,POOLE,711-69-3228,jackcameron@example.net,1959-06-16,"PSC 2560, Box 7250, APO AA 54502",JOINT,MEDIUM,250K+,RETIRED,2023-12-28,2302733366,
059967,APRIL,TERRY,863-96-7196,schneiderdaniel@example.com,1942-03-27,"Unit 5201 Box 1854, DPO AP 75380",BROKERAGE,LOW,100K-250K,RETIRED,2025-01-11,0017303453758,
