AccountID,TransactionID,AccountType,Asset,Ticker,Quantity,TradeDate,SettlementDate,PricePerShare,Currency,TransactionStatus,Notes,FirstName,LastName
727294,1012ca69,BROKERAGE,BERKSHIRE HATHAWAY,BRK.A,240,2023-04-19,2023-04-20,3620.05,USD,COMPLETED,SHORT-TERM,KIMBERLY,WILLIAMS
593272,f4275f69,BROKERAGE,META PLATFORMS,META,,2024-06-24,2024-06-25,1091.9,EUR,COMPLETED,DIVIDENDS REINVESTED,CHRISTINE,HANSON
199688,bc8ad60d,ROTH IRA,APPLE INC.,AAPL,107,2024-10-03,2024-10-04,4588.32,USD,COMPLETED,DIVIDENDS REINVESTED,JOHN,TAYLOR
889753,ce385a4a,401(K),APPLE INC.,AAPL,788,2023-06-05,2023-06-06,1247.4,CAD,COMPLETED,SHORT-TERM,JEFFREY,FORD
727294,a0132dc1,BROKERAGE,NVIDIA CORPORATION,NVDA,771,2023-10-25,,4939.86,CAD,PENDING,PENDING,KIMBERLY,WILLIAMS
918798,6cc2b515,JOINT,"AMAZON.COM, INC.",AMZN,10,2024-02-08,2024-02-09,3885.48,USD,COMPLETED,DIVIDENDS REINVESTED,,
693480,db22166e,TRUST,MICROSOFT CORP,MSFT,294,2025-07-17,2025-07-18,,USD,COMPLETED,DIVIDENDS REINVESTED,JAMES,MILLER
594008,15f82e28,TRUST,JOHNSON & JOHNSON,JNJ,233,2023-06-05,2023-06-06,3833.2,CAD,COMPLETED,DIVIDENDS REINVESTED,BENJAMIN,WILSON
781565,536380b9,BROKERAGE,TESLA INC.,TSLA,223,2022-11-22,2022-11-23,3094.37,EUR,COMPLETED,WATCHLIST,ALEJANDRA,JIMENEZ
499100,837cb1a5,ROTH IRA,NVIDIA CORPORATION,NVDA,630,2025-07-09,2025-07-10,954.68,EUR,COMPLETED,AUTO-INVEST,DEBORAH,MOODY
621357,38642910,CUSTODIAL,APPLE INC.,AAPL,609,2023-11-28,2023-11-29,,EUR,COMPLETED,WATCHLIST,GARY,LYNCH
575239,8aca23dd,401(K),NETFLIX,NFLX,318,2025-06-17,2025-06-18,2610.77,USD,COMPLETED,,JEREMY,MARTIN
799271,d4b47b3f,401(K),ALPHABET INC.,GOOG,636,2022-11-22,2022-11-23,3656.75,EUR,COMPLETED,AUTO-INVEST,AMY,JOHNSON
275773,089bb1bd,TRUST,JOHNSON & JOHNSON,JNJ,406,2024-10-15,2024-10-16,520.90,USD,COMPLETED,SHORT-TERM,AARON,JONES
103637,052539b3,TRUST,"AMAZON.COM, INC.",AMZN,240,2022-04-07,2022-04-08,3470.22,USD,COMPLETED,SHORT-TERM,KEVIN,WALLACE
190305,203f4d6b,BROKERAGE,NETFLIX,NFLX,493,2024-06-18,2024-06-20,3327.94,CAD,COMPLETED,WATCHLIST,JAMIE,GONZALES
923351,9fa5856f,401(K),APPLE INC.,AAPL,259,2025-04-04,2025-04-07,25.6,USD,COMPLETED,,LEAH,MENDEZ
232061,56bfccbf,TRUST,NVIDIA CORPORATION,NVDA,937,2025-04-01,2025-04-02,2877.2,CAD,COMPLETED,DIVIDENDS REINVESTED,FRANCISCO,MILLER
860219,41c92c3e,401(K),NVIDIA CORPORATION,NVDA,504,2021-04-12,2021-04-13,109.35,USD,COMPLETED,,ANDREA,DENNIS
635995,c2df6868,TRUST,META PLATFORMS,META,44,2025-07-10,,161.71,USD,PENDING,PENDING,STEPHEN,CARTER
,101345af,JOINT,BERKSHIRE HATHAWAY,BRK.A,291,2025-02-21,2025-02-24,1040.08,USD,COMPLETED,SHORT-TERM,THEODORE,MALDONADO
172394,8ee96527,401(K),"AMAZON.COM, INC.",AMZN,884,2024-12-02,,4668.65,CAD,PENDING,PENDING,FRANK,MORGAN
795352,e1509bf0,ROTH IRA,MICROSOFT CORP,MSFT,396,2025-02-28,2025-03-03,1105.44,EUR,COMPLETED,AUTO-INVEST,FRANK,MARSHALL
824829,bad78ec4,401(K),TESLA INC.,TSLA,998,2024-09-11,2024-09-12,549.17,USD,COMPLETED,,JENNIFER,CALLAHAN
781565,a1c60d80,BROKERAGE,NETFLIX,NFLX,876,2021-11-23,2021-11-24,3341.68,CAD,COMPLETED,DIVIDENDS REINVESTED,ALEJANDRA,JIMENEZ
532263,f0f32d63,ROTH IRA,META PLATFORMS,META,186,2025-05-02,2025-05-05,2108.51,EUR,COMPLETED,SHORT-TERM,TINA,JONES
958698,a475d9fb,401(K),ALPHABET INC.,GOOGL,99,2024-10-03,2024-10-04,2963.02,CAD,COMPLETED,DIVIDENDS REINVESTED,JONATHAN,RAMOS
915579,3a7f67eb,BROKERAGE,MICROSOFT CORP,MSFT,554,2024-07-31,2024-08-01,,EUR,COMPLETED,WATCHLIST,LOGAN,JOHNSON
509680,4fd536b6,CUSTODIAL,NVIDIA CORPORATION,NVDA,893,2023-08-09,2023-08-10,88.25,USD,COMPLETED,WATCHLIST,SEAN,DANIEL
654674,63ec74a4,JOINT,ALPHABET INC.,GOOGL,176,2025-02-25,2025-02-26,972.06,USD,COMPLETED,DIVIDENDS REINVESTED,JULIE,HERNANDEZ
613288,f5302695,JOINT,MICROSOFT CORP,MSFT,982,2025-03-24,,4989.10,EUR,PENDING,PENDING,KENNETH,HARTMAN
770530,da62814c,401(K),BERKSHIRE HATHAWAY,BRK.A,158,2025-06-13,2025-06-16,,CAD,COMPLETED,WATCHLIST,TERRY,NEWTON
425157,12fc0d99,BROKERAGE,"AMAZON.COM, INC.",AMZN,676,2024-09-09,2024-09-10,,CAD,COMPLETED,,STEPHANIE,BENNETT
635995,700b8291,TRUST,JOHNSON & JOHNSON,JNJ,10,2025-07-09,2025-07-10,3460.95,EUR,COMPLETED,DIVIDENDS REINVESTED,STEPHEN,CARTER
145114,dc23d3fa,JOINT,ALPHABET INC.,GOOGL,714,2022-08-12,,4156.31,EUR,PENDING,PENDING,TROY,GUZMAN
380206,313d2415,ROTH IRA,JOHNSON & JOHNSON,JNJ,769,2024-04-09,2024-04-10,948.58,USD,COMPLETED,,,
232061,91225f59,TRUST,"AMAZON.COM, INC.",AMZN,650,2021-01-07,2021-01-08,2424.29,USD,COMPLETED,,,
176145,1c9963f2,ROTH IRA,NVIDIA CORPORATION,NVDA,,2023-10-27,2023-10-30,2237.36,CAD,COMPLETED,WATCHLIST,JOSEPH,CRAWFORD
795352,616c60d4,ROTH IRA,TESLA INC.,TSLA,369,2024-10-21,2024-10-22,1458.14,USD,COMPLETED,,FRANK,MARSHALL
821622,030c52fd,BROKERAGE,ALPHABET INC.,GOOGL,580,2024-12-20,2024-12-23,,CAD,COMPLETED,,MITCHELL,FERGUSON
606604,ef7012c8,ROTH IRA,"AMAZON.COM, INC.",AMZN,23,2024-12-18,2024-12-19,405.04,USD,COMPLETED,,SHARON,RUIZ
642070,b726963d,BROKERAGE,JOHNSON & JOHNSON,JNJ,,2023-09-01,2023-09-05,2080.9,CAD,COMPLETED,,MICHAEL,BENTLEY
