Name,Account ID,Transaction ID,Account Type,Asset,Ticker,Quantity,Trade Date,Settlement Date,Price Per Share,Currency,Status,Notes
Kimberly Williams,ACC-7272-94,1012ca69,Brokerage,berkshire hathaway,BRK.A,240,19-Apr-2023,20-Apr-2023,$3620.05,USD,Completed,short-term
Christine HANSON,ACC-5932-72,f4275f69,Brokerage,META PLATFORMS,META,N/A,24-Jun-2024,25-Jun-2024,$1091.9,EUR,Completed,dividends reinvested
John taylor,ACC-1996-88,bc8ad60d,Roth IRA,APPLE INC.,AAPL,107,3-Oct-2024,10/4/2024,4588.32,USD,Completed,dividends reinvested
Jeffrey Ford,ACC-8897-53,ce385a4a,401(k),APPLE INC.,AAPL,788,5-Jun-2023,6-Jun-2023,$1247.4,CAD,Completed,short-term
KIMBERLY williams,ACC-7272-94,a0132dc1,Brokerage, Nvidia Corporation ,NVDA,771,10/25/2023,,4939.86usd,CAD,Pending,pending
,ACC-9187-98,6cc2b515,Joint,"AMAZON.COM, INC.",Amzn,ten,2/8/2024,2/9/2024,"3,885.48 USD",USD,Completed,dividends reinvested
james MILLER,ACC-6934-80,db22166e,Trust,MICROSOFT CORP,MSFT,294,17-Jul-2025,18-Jul-2025,N/A,USD,Completed,dividends reinvested
benjamin Wilson,ACC-5940-08,15f82e28,Trust,johnson & johnson,jnj,233,6/5/2023,6/6/2023,$3833.2,CAD,Completed,dividends reinvested
Alejandra jimenez,ACC-7815-65,536380b9,Brokerage,TESLA INC.,tsla,223,22-Nov-2022,23-Nov-2022,3094.37,EUR,Completed,watchlist
deborah Moody,ACC-4991-00,837cb1a5,Roth IRA,NVIDIA CORPORATION,NVDA,630,9-Jul-2025,10-Jul-2025,954.68usd,EUR,Completed,auto-invest
gary LYNCH,ACC-6213-57,38642910,Custodial,apple inc.,Aapl,609,28-Nov-2023,11/29/2023,N/A,EUR,Completed,watchlist
Jeremy martin,ACC-5752-39,8aca23dd,401(k),Netflix,nflx,318,6/17/2025,18-Jun-2025,2610.77usd,USD,Completed,
amy JOHNSON,ACC-7992-71,d4b47b3f,401(k),Alphabet Inc.,Goog,636,11/22/2022,23-Nov-2022,3656.75usd,EUR,Completed,auto-invest
AARON jones,ACC-2757-73,089bb1bd,Trust,JOHNSON & JOHNSON,JNJ,406,15-Oct-2024,10/16/2024,$520.90,USD,Completed,short-term
KEVIN Wallace,ACC-1036-37,052539b3,Trust,"AMAZON.COM, INC.",amzn,240,7-Apr-2022,8-Apr-2022,3470.22,USD,Completed,short-term
jamie GONZALES,ACC-1903-05,203f4d6b,Brokerage,NETFLIX,nflx,493,18-Jun-2024,20-Jun-2024,3327.94,CAD,Completed,watchlist
leah Mendez,ACC-9233-51,9fa5856f,401(k),Apple Inc.,aapl,259,4-Apr-2025,4/7/2025,$25.6,USD,Completed,
FRANCISCO miller,ACC-2320-61,56bfccbf,Trust,NVIDIA CORPORATION,NVDA,937,4/1/2025,2-Apr-2025,$2877.2,CAD,Completed,dividends reinvested
Andrea DENNIS,ACC-8602-19,41c92c3e,401(k),NVIDIA CORPORATION,Nvda,504,4/12/2021,4/13/2021,109.35,USD,Completed,
stephen CARTER,ACC-6359-95,c2df6868,Trust,meta platforms,META,44,7/10/2025,,161.71 USD,USD,Pending,pending
theodore maldonado,,101345af,Joint,berkshire hathaway,brk.a,291,2/21/2025,24-Feb-2025,1040.08,USD,Completed,short-term
FRANK Morgan,ACC-1723-94,8ee96527,401(k),"AMAZON.COM, INC.",AMZN,884,12/2/2024,,4668.65usd,CAD,Pending,pending
frank Marshall,ACC-7953-52,e1509bf0,Roth IRA,MICROSOFT CORP,MSFT,396,28-Feb-2025,3/3/2025,"1,105.44 USD",EUR,Completed,auto-invest
jennifer callahan,ACC-8248-29,bad78ec4,401(k),tesla inc.,TSLA,998,9/11/2024,9/12/2024,549.17usd,USD,Completed,
Alejandra jimenez,ACC-7815-65,a1c60d80,Brokerage,NETFLIX,Nflx,876,23-Nov-2021,24-Nov-2021,$3341.68,CAD,Completed,dividends reinvested
TINA JONES,ACC-5322-63,f0f32d63,Roth IRA,META PLATFORMS,Met,186,5/2/2025,5-May-2025,2108.51,EUR,Completed,short-term
